,Unnamed: 0,Unnamed: 0.1,postcode,age_0_14,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85_plus,tot_P,both_par_os,both_par_aus,f_only_os,m_only_os,born_aus,born_os,diversity,suburb,lat,lon,diversity_std,age_diversity_std
95,95,95,3043,2948,1963,2625,2456,2163,2109,2101,1062,313,17716,0.50505846,0.378930151,0.06918277099999999,0.046828617999999995,0.661757546,0.33824245399999997,27791.689189999997,TULLAMARINE,-37.68656,144.882698,0.131162701,0.9891824083884151
96,96,96,3043,2948,1963,2625,2456,2163,2109,2101,1062,313,17716,0.50505846,0.378930151,0.06918277099999999,0.046828617999999995,0.661757546,0.33824245399999997,27791.689189999997,GOWANBRAE,-37.706315999999994,144.89488500000004,0.131162701,0.9891824083884151
97,97,97,3044,5015,3108,4512,4342,3705,2495,1582,1382,975,27116,0.46680342399999997,0.399147895,0.082843505,0.051205176,0.705821782,0.294178218,37141.60148000001,PASCOE VALE SOUTH,-37.739197999999995,144.945722,0.175289552,0.9792513706011323
98,98,98,3044,5015,3108,4512,4342,3705,2495,1582,1382,975,27116,0.46680342399999997,0.399147895,0.082843505,0.051205176,0.705821782,0.294178218,37141.60148000001,PASCOE VALE,-37.727568,144.939122,0.175289552,0.9792513706011323
99,99,99,3045,3,25,22,27,10,4,3,3,0,104,0.235294118,0.588235294,0.176470588,0.0,0.84375,0.15625,25.97058824,MELBOURNE AIRPORT,-37.668873,144.833931,0.00012256799999999998,0.8811192418898134
100,100,100,3046,6035,4094,6786,4869,3861,2883,2240,2177,1102,34063,0.60091047,0.29321573100000003,0.066736216,0.039137582000000004,0.576123854,0.423876146,66806.96154,GLENROY,-37.704581,144.915758,0.315295031,0.9786338794842921
101,101,101,3046,6035,4094,6786,4869,3861,2883,2240,2177,1102,34063,0.60091047,0.29321573100000003,0.066736216,0.039137582000000004,0.576123854,0.423876146,66806.96154,OAK PARK,-37.71817,144.919959,0.315295031,0.9786338794842921
102,102,102,3046,6035,4094,6786,4869,3861,2883,2240,2177,1102,34063,0.60091047,0.29321573100000003,0.066736216,0.039137582000000004,0.576123854,0.423876146,66806.96154,HADFIELD,-37.707238000000004,144.93832,0.315295031,0.9786338794842921
103,103,103,3047,4735,3171,3736,2525,2498,1849,1258,870,271,20903,0.72468964,0.17984803100000002,0.060252568,0.03520976,0.49094426799999996,0.509055732,47362.31726,JACANA,-37.690301,144.915729,0.223526156,0.9611406940573493
104,104,104,3047,4735,3171,3736,2525,2498,1849,1258,870,271,20903,0.72468964,0.17984803100000002,0.060252568,0.03520976,0.49094426799999996,0.509055732,47362.31726,DALLAS,-37.673333,144.931141,0.223526156,0.9611406940573493
105,105,105,3047,4735,3171,3736,2525,2498,1849,1258,870,271,20903,0.72468964,0.17984803100000002,0.060252568,0.03520976,0.49094426799999996,0.509055732,47362.31726,BROADMEADOWS,-37.680792,144.921009,0.223526156,0.9611406940573493
106,106,106,3048,4075,2933,2600,2281,2453,1810,1171,564,131,18029,0.7531323059999999,0.14867214199999998,0.06468437099999999,0.03351118,0.519264396,0.480735604,39867.406689999996,COOLAROO,-37.651811,144.930466,0.188153973,0.9611016754276124
107,107,107,3048,4075,2933,2600,2281,2453,1810,1171,564,131,18029,0.7531323059999999,0.14867214199999998,0.06468437099999999,0.03351118,0.519264396,0.480735604,39867.406689999996,MEADOW HEIGHTS,-37.64986,144.922104,0.188153973,0.9611016754276124
